Start Station ID,closed,latitude,longitude,opened
396,,40.680342423,-73.9557689392,2013-01-01 00:00:00
397,,40.68415748,-73.96922273,2013-01-01 00:00:00
398,,40.69165183,-73.99997859999998,2013-01-01 00:00:00
399,,40.68851534,-73.9647628,2013-01-01 00:00:00
400,,40.71926081,-73.98178024,2013-01-01 00:00:00
401,,40.72019576,-73.98997825,2013-01-01 00:00:00
402,,40.74034320000001,-73.98955109,2013-01-01 00:00:00
403,2016-03-01 00:00:00,40.72502876,-73.99069656,2013-01-01 00:00:00
404,2015-09-01 00:00:00,40.7405826,-74.00550867,2013-01-01 00:00:00
405,,40.739323,-74.008119,2013-01-01 00:00:00
406,,40.69512845,-73.99595065,2013-01-01 00:00:00
407,,40.700469,-73.991454,2013-01-01 00:00:00
408,,40.71076228,-73.99400398,2013-01-01 00:00:00
409,,40.6906495,-73.95643107,2013-01-01 00:00:00
410,,40.72066442,-73.98517977,2013-01-01 00:00:00
411,,40.72228087,-73.97668709,2013-01-01 00:00:00
412,,40.71581550000001,-73.99422366,2013-01-01 00:00:00
414,,40.70281858,-73.98765762,2013-01-01 00:00:00
415,,40.7047177,-74.00926027,2013-01-01 00:00:00
416,,40.68753406,-73.97265183,2013-01-01 00:00:00
417,,40.71291224,-74.01020234,2013-01-01 00:00:00
418,,40.70224,-73.982578,2013-01-01 00:00:00
419,,40.69580705,-73.97355569,2013-01-01 00:00:00
420,,40.68764484,-73.96968902,2013-01-01 00:00:00
421,,40.69573398,-73.97129668,2013-01-01 00:00:00
422,,40.770513,-73.988038,2013-01-01 00:00:00
423,,40.76584941,-73.98690506,2013-01-01 00:00:00
426,,40.71754834,-74.01322069,2013-01-01 00:00:00
427,,40.70251526,-74.01427023,2013-01-01 00:00:00
428,,40.72467721,-73.98783413,2013-01-01 00:00:00
430,,40.7014851,-73.98656928,2013-01-01 00:00:00
431,2015-10-01 00:00:00,40.68864636,-73.98263429,2013-01-01 00:00:00
432,,40.72621788,-73.98379855,2013-01-01 00:00:00
433,,40.72955361,-73.98057249,2013-01-01 00:00:00
434,,40.74317449,-74.00366443,2013-01-01 00:00:00
435,,40.74173969,-73.99415556,2013-01-01 00:00:00
436,,40.68216564,-73.95399026,2013-01-01 00:00:00
437,,40.6809833854,-73.9500479759,2013-01-01 00:00:00
438,,40.72779126,-73.98564945,2013-01-01 00:00:00
439,,40.7262807,-73.98978041,2013-01-01 00:00:00
440,,40.75255434,-73.97282625,2013-01-01 00:00:00
441,,40.756014,-73.967416,2013-01-01 00:00:00
442,,40.746647,-73.993915,2013-01-01 00:00:00
443,,40.70853074,-73.96408963,2013-01-01 00:00:00
444,,40.7423543,-73.98915076,2013-01-01 00:00:00
445,,40.72740794,-73.98142006,2013-01-01 00:00:00
446,,40.74487634,-73.99529885,2013-01-01 00:00:00
447,,40.76370739,-73.9851615,2013-01-01 00:00:00
448,,40.75660359,-73.9979009,2013-01-01 00:00:00
449,,40.76461837,-73.98789473,2013-01-01 00:00:00
450,,40.76227205,-73.98788205,2013-01-01 00:00:00
453,,40.74475148,-73.99915362,2013-01-01 00:00:00
454,,40.75455731,-73.96592976,2013-01-01 00:00:00
455,,40.75001986,-73.96905301,2013-01-01 00:00:00
456,,40.75971079999999,-73.97402311,2013-01-01 00:00:00
457,,40.76695317,-73.98169333,2013-01-01 00:00:00
458,,40.751396,-74.00522600000002,2013-01-01 00:00:00
459,,40.746745,-74.007756,2013-01-01 00:00:00
460,,40.71285887,-73.96590294,2013-01-01 00:00:00
461,,40.73587678,-73.98205027,2013-01-01 00:00:00
462,2016-11-01 00:00:00,40.74691959,-74.00451887,2013-01-01 00:00:00
463,2016-06-01 00:00:00,40.74206539,-74.00443172,2013-01-01 00:00:00
464,2015-09-01 00:00:00,40.75934501,-73.96759673,2013-01-01 00:00:00
465,2016-10-01 00:00:00,40.75513557,-73.98658032,2013-01-01 00:00:00
466,,40.74395411,-73.99144871,2013-01-01 00:00:00
467,,40.68312489,-73.97895137,2013-01-01 00:00:00
468,,40.7652654,-73.98192338,2013-01-01 00:00:00
469,,40.76344058,-73.98268129,2013-01-01 00:00:00
470,,40.74345335,-74.00004031,2013-01-01 00:00:00
471,,40.71286844,-73.95698119,2013-01-01 00:00:00
472,,40.74571210000001,-73.98194829,2013-01-01 00:00:00
473,,40.72110063,-73.99192540000001,2013-01-01 00:00:00
474,,40.7451677,-73.98683077,2013-01-01 00:00:00
475,,40.73524276,-73.98758561,2013-01-01 00:00:00
476,,40.74394314,-73.97966069,2013-01-01 00:00:00
477,,40.75640548,-73.9900262,2013-01-01 00:00:00
478,,40.76030096,-73.99884222,2013-01-01 00:00:00
479,,40.76019252,-73.9912551,2013-01-01 00:00:00
480,,40.76669671,-73.99061728,2013-01-01 00:00:00
481,,40.71260486,-73.96264403,2013-01-01 00:00:00
482,,40.73935542,-73.99931783,2013-01-01 00:00:00
483,,40.73223272,-73.98889957,2013-01-01 00:00:00
484,,40.75500254,-73.98014437,2013-01-01 00:00:00
485,,40.75038009,-73.98338988,2013-01-01 00:00:00
486,,40.7462009,-73.98855723,2013-01-01 00:00:00
487,,40.73314259,-73.97573881,2013-01-01 00:00:00
488,,40.75645824,-73.99372222,2013-01-01 00:00:00
489,2016-08-01 00:00:00,40.75066386,-74.00176802,2013-01-01 00:00:00
490,,40.751551,-73.993934,2013-01-01 00:00:00
491,,40.74096374,-73.98602213,2014-03-01 00:00:00
492,,40.75019995,-73.99093085,2013-01-01 00:00:00
493,,40.7568001,-73.98291153,2013-01-01 00:00:00
494,,40.74734825,-73.99723551,2013-01-01 00:00:00
495,,40.76269882,-73.99301222,2013-01-01 00:00:00
496,,40.73726186,-73.99238967,2013-01-01 00:00:00
